sample	Raw_reads_fwd	Raw_mean_length_fwd	Raw_median_length_fwd	Raw_reads_rev	Raw_mean_length_rev	Raw_median_length_rev	Trimmed	Trimmed_fwd	Trimmed_rev	Removed	Removed_fwd	Removed_rev	Filtered_reads_fwd	Filtered_mean_length_fwd	Filtered_median_length_fwd	Filtered_reads_rev	Filtered_mean_length_rev	Filtered_median_length_rev	Combined pairs	Uncombined pairs	Selected_dereplication	Selected_singleton	Selected_chimera	Selected_otu	Mapped_reads	Mapping_percent_combined
5ng-25cycles-1_S26_L001_001	216807	300	301	216807	300	300	403438	196888	206550	27842	17587	10255	192017	265	277	192017	227	231	167270	192017	60409	1507	1277	5	153559	79.97
20ng-25cycles-1_S2_L001_001	302678	300	301	302678	300	300	560043	274679	285364	42410	25097	17313	265513	265	277	265513	224	229	228922	265513	90528	2208	1749	5	202669	76.33
1ng-30cycles-1_S50_L001_001	275152	300	301	275152	300	300	509447	250179	259268	37693	21809	15884	242096	265	277	242096	222	227	209033	242096	84557	1998	1542	7	183410	75.76
zero5ng-25cycles-1_S62_L001_001	308283	300	301	308283	300	300	569407	277786	291621	43427	26767	16660	270219	265	277	270219	225	230	233528	270219	82353	2133	1951	2	222829	82.46
1ng-25cycles-3_S40_L001_001	172137	300	301	172137	300	300	315854	154559	161295	26482	15642	10840	149233	265	277	149233	223	227	128265	149233	48587	1285	1172	1	121491	81.41
5ng-25cycles-3_S28_L001_001	285903	300	301	285903	300	300	531229	257695	273534	37412	25043	12369	252430	264	277	252430	229	234	220357	252430	77958	1986	1662	4	203446	80.6
zero5ng-25cycles-2_S63_L001_001	352123	300	301	352123	300	300	648535	318719	329816	50482	28176	22306	308459	267	277	308459	221	226	266924	308459	98469	2510	2256	2	252325	81.8
zero5ng-25cycles-3_S64_L001_001	236495	300	301	236495	300	300	437038	212481	224557	33097	21161	11936	207488	265	277	207488	227	232	180797	207488	62110	1659	1557	2	173561	83.65
zero5ng-30cycles-1_S74_L001_001	359368	300	301	359368	300	300	665454	326768	338686	49132	28451	20681	316575	266	277	316575	223	227	274564	316575	105773	2526	1974	7	243522	76.92
1ng-25cycles-2_S39_L001_001	225513	300	301	225513	300	300	410838	203514	207324	37100	18912	18188	193922	267	277	193922	218	217	165528	193922	67393	1678	1445	2	152993	78.89
20ng-20cycles-1_S14_L001_001	297586	300	301	297586	300	300	550934	268644	282290	40695	25399	15296	261634	265	277	261634	226	231	226892	261634	79872	2069	1860	3	214491	81.98
1ng-30cycles-3_S52_L001_001	256766	300	301	256766	300	300	453161	223254	229907	58344	31485	26859	206824	257	272	206824	208	205	154532	206824	86516	1969	1688	3	137773	66.61
20ng-25cycles-3_S4_L001_001	296908	300	301	296908	300	300	549201	268361	280840	41730	25666	16064	260316	265	277	260316	226	231	226248	260316	86241	2126	1726	2	202205	77.68
zero5ng-30cycles-2_S75_L001_001	242911	300	301	242911	300	300	449556	221480	228076	33397	18562	14835	213997	267	278	213997	222	227	186286	213997	69094	1759	1455	3	168284	78.64
20ng-25cycles-2_S3_L001_001	269896	300	301	269896	300	300	497132	245483	251649	39492	21246	18246	235824	267	277	235824	221	225	203843	235824	82805	2068	1612	4	178385	75.64
20ng-20cycles-3_S16_L001_001	306702	300	301	306702	300	300	567042	275507	291535	42771	27605	15166	269014	265	277	269014	228	233	234694	269014	80070	2038	1839	3	222691	82.78
zero5ng-30cycles-3_S76_L001_001	132333	300	301	132333	300	300	183132	106023	77109	80943	25722	55221	65823	247	263	65823	174	177	29501	65823	23219	370	323	1	25229	38.33
20ng-20cycles-2_S15_L001_001	386487	300	301	386487	300	300	714269	350082	364187	53920	31621	22299	339401	266	277	339401	223	228	293514	339401	106564	2767	2482	3	275380	81.14
1ng-30cycles-2_S51_L001_001	391843	300	301	391843	300	300	724875	357756	367119	53718	28996	24722	345232	267	277	345232	221	226	299176	345232	117753	2869	2373	3	268610	77.81
5ng-25cycles-2_S27_L001_001	284620	300	301	284620	300	300	528610	259384	269226	36853	21459	15394	252210	267	277	252210	224	229	219794	252210	80454	2038	1683	1	201061	79.72
1ng-25cycles-1_S38_L001_001	133794	300	301	133794	300	300	245147	120830	124317	20848	11371	9477	115918	265	277	115918	220	223	98970	115918	39064	974	870	0	92208	79.55
