Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"[Eubacterium]","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",197,g,,187,206,590
"Acetatifactor","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",2,g,,7,4,13
"Acetitomaculum","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",14,g,,0,6,20
"Alistipes","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",6828,g,,10307,3013,20148
"Allobaculum","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",5,g,,2,5,12
"Alloprevotella","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",11,g,,9,7,27
"Anaerofustis","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae",0,g,,3,0,3
"Anaeroplasma","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",11,g,,5,18,34
"Anaerotruncus","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",892,g,,410,760,2062
"Bacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae",2473,g,,1510,1549,5532
"Bergeyella","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",2,g,,5,7,14
"Bilophila","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",7,g,,19,19,45
"Blautia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",12,g,,44,44,100
"Christensenellaceae","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",4,g,,1,6,11
"Coprococcus","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",122,g,,217,649,988
"Curtobacterium","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",1,g,,5,0,6
"Defluviitaleaceae","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae",1,g,,11,1,13
"Desulfovibrio","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",10,g,,5,13,28
"Enterococcus","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae",17,g,,1,20,38
"Enterorhabdus","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae",253,g,,407,809,1469
"Escherichia-Shigella","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",3,g,,7,0,10
"Frigoribacterium","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",0,g,,0,0,0
"Incertae","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",18835,g,,3044,6320,28199
"Intestinimonas","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",92,g,,57,105,254
"Lachnoclostridium","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",50,g,,76,71,197
"Lachnospiraceae","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",9928,g,,6980,9914,26822
"Lactobacillus","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",304,g,,413,125,842
"Lactococcus","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",0,g,,1,0,1
"Listeria","Firmicutes","Bacilli","Bacillales","Listeriaceae",12,g,,30,18,60
"Marvinbryantia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",136,g,,41,59,236
"Mucispirillum","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",304,g,,850,3277,4431
"Odoribacter","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",6020,g,,12748,8994,27762
"Oscillibacter","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",4714,g,,15853,9627,30194
"Parabacteroides","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae",111,g,,12,33,156
"Parasutterella","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",1,g,,11,8,20
"Peptococcus","Firmicutes","Clostridia","Clostridiales","Peptococcaceae",1,g,,6,0,7
"Prevotellaceae","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",14,g,,16,10,40
"Pseudobutyrivibrio","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",1,g,,5,5,11
"Rikenellaceae","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",345,g,,935,543,1823
"Roseburia","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",2381,g,,8641,1902,12924
"Ruminiclostridium","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",9881,g,,4401,1421,15703
"Ruminococcaceae","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",2630,g,,2692,2310,7632
"Ruminococcus","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",1754,g,,1355,2348,5457
"Staphylococcus","Firmicutes","Bacilli","Bacillales","Staphylococcaceae",126,g,,96,95,317
"Streptococcus","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",9,g,,15,83,107
"Turicibacter","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",2221,g,,1181,1104,4506
"Tyzzerella","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",62,g,,31,24,117
